"","site","type","lat","lon","N","R2","rMAE","CV_GPP","CV_W","CV_T","CV_TW","Residuals","rT_unique","rW_unique","rTW_shared","rTW_total","MAT","MAP"
"1","AR-Vir","ENF",-28.2395,-56.1886,36,0.364766394803382,0.24029203546258,0.346717462113536,0.0859246474286232,0.0536348882674069,0.105777665166737,0.613,-0.0414,-0.0495,0.164599483204134,0.0739018087855297,20.8052741500851,1757.85086081662
"2","AT-Neu","GRA",47.11667,11.3175,119,0.756814025623155,0.32123300416648,0.8136331817329,0.238477129826741,0.55146301139605,0.640967371605908,0.1779,0.0326,-0.0015,0.441795402019219,0.472813526334996,0.76659707601948,1726.8960788969
"3","AU-ASM","ENF",-22.283,133.249,60,0.596377681605179,1.61104893483387,1.10069551924415,0.276717133935721,0.0828244452823374,0.274702552970332,0.4657,0.0128,0.0235,0.160396780834737,0.196705970428598,23.1487578139676,308.823872866614
"4","AU-Cpr","SAV",-34.0021,140.5891,56,0.481292032651892,0.95160005626145,0.498293040587135,0.217923008689839,0.232632470348339,0.222756027138941,0.3495,0.0099,0.0454,0.0685626441199078,0.123904688700999,18.0055947303886,267.56940659124
"5","AU-DaP","GRA",-14.0633,131.3181,69,0.597566221864534,1.02785069205523,0.929611035029681,0.199529727318014,0.0204249682206386,0.195490923077489,0.21,-0.0038,0.4241,0.300379746835443,0.720632911392405,27.5837006949521,1092.37548362452
"6","AU-DaS","SAV",-14.1593,131.3881,84,0.753569878303332,0.251413570488859,0.403512448155746,0.244861497471828,0.0167047448802136,0.237433251023214,0.2137,-0.0034,0.4272,0.254483021747425,0.678239857560727,27.6585075101609,1070.71406320968
"7","AU-Dry","SAV",-15.2588,132.3706,84,0.624269832934637,0.640225878801018,0.448429118487899,0.254609172885069,0.0239438054636788,0.248144616117777,0.3635,0.0065,0.3169,0.192144540455617,0.515632364493323,26.8538628220652,836.134266368928
"8","AU-Gin","WSA",-31.3764,115.7138,48,0.230613720329373,0.539932154905254,0.351674595766318,0.170888375072332,0.114620126815907,0.174622910534383,0.597,-0.002,-0.0325,0.198759305210918,0.164267990074442,18.7457221573638,490.572088472429
"9","AU-How","WSA",-12.4943,131.1523,162,0.310539184047592,0.555353258682362,0.47301930996427,0.178132931806494,0.0198735545693805,0.176871930340841,0.3285,0.0226,0.7489,0.106031273268801,0.877587490692479,27.4308588638428,1796.47609865902
"10","AU-Rig","GRA",-36.6499,145.5759,46,0.411453743458027,0.626728935934886,0.76658992688966,0.173899971347613,0.251804629683191,0.156017221042054,0.2449,0.0017,0.0123,0.392530790623758,0.406568666401801,15.0037070735218,649.732484929147
